	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
38																										37	-0.31092319475072744	0.0031935677408439916	88	0.28103396119427126																																																																						
39																										172	-0.3106199652989687	0.0032249791588958056	88	0.2837981659828309																																																																						
40																										142	0.3100388676319125	0.003285948637295883	88	0.28916348008203774																																																																						
41																										209	-0.30930239481510025	0.0033647012556399297	88	0.29609371049631383																																																																						
42																										213	-0.30809363897882597	0.003497620706703217	88	0.3077906221898831																																																																						
43																										44	0.30634131926306685	0.003698649990968508	88	0.32548119920522867																																																																						
44																										127	0.3051135011136659	0.0038455921527083188	88	0.33841210943833205																																																																						
45																										165	-0.30475913233036606	0.0038889600423255696	88	0.34222848372465015																																																																						
46																										233	0.30396418181441287	0.003987837941696633	88	0.35092973886930373																																																																						
47																										107	0.3038788247161875	0.003998587051542482	88	0.3518756605357384																																																																						
48																										73	-0.3036711811736793	0.004024843791356399	88	0.3541862536393631																																																																						
49																										254	-0.3035869024835587	0.004035544712437401	88	0.3551279346944913																																																																						
50																										241	0.3030283092365159	0.004107113274260503	88	0.3614259681349243																																																																						
51																										48	-0.302809045095137	0.004135513827311426	88	0.3639252168034055																																																																						
52																										216	0.3022621866889328	0.004207110748478572	88	0.3702257458661143																																																																						
53																										162	0.2995424104146125	0.004579859238211349	88	0.4030276129625987																																																																						
54																										248	0.2991609537741269	0.004634422357471398	88	0.40782916745748304																																																																						
55																										193	-0.29911219491087565	0.004641438285237678	88	0.4084465691009157																																																																						
56																										96	0.2982195323601773	0.004771564387664271	88	0.4198976661144559																																																																						
57																										125	0.2944688601262384	0.0053544493000296485	88	0.4711915384026091																																																																						
58																										259	0.2919438664177351	0.005781616381617305	88	0.5087822415823229																																																																						
59																										129	-0.29014639091245364	0.0061038313900558215	88	0.5371371623249123																																																																						
60																										199	0.2901145812647775	0.006109673860916349	88	0.5376512997606387																																																																						
61																										79	0.28976600626438376	0.006174021473129751	88	0.543313889635418																																																																						
62																										177	-0.2889842274548846	0.006320523796675287	88	0.5562060941074253																																																																						
63																										35	-0.2889614951848901	0.006324829336207048	88	0.5565849815862203																																																																						
64																										106	0.2889407048899139	0.006328769331681247	88	0.5569317011879498																																																																						
65																										66	-0.28766236071438034	0.006575237776743544	88	0.5786209243534318																																																																						
66																										178	-0.2876313575547454	0.0065813191503486575	88	0.5791560852306818																																																																						
67																										108	-0.2862253895094417	0.006862379408249245	88	0.6038893879259336																																																																						
68																										135	0.285274809444632	0.007058358012054679	88	0.6211355050608117																																																																						
