	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
132											185	0.13249119004018348	0.022158833496944863	298	6.603332382089569																																								
133											193	-0.13195746573569594	0.0227064993190668	298	6.766536797081906																																								
134											252	0.13141231277347715	0.023277934438571294	298	6.936824462694245																																								
135											55	0.1312562866080611	0.02344375194217013	298	6.986238078766698																																								
136											206	0.130928170018883	0.02379578998779365	298	7.091145416362508																																								
137											264	0.13053338723916963	0.024225393359448413	298	7.219167221115627																																								
138											199	-0.13041822698994124	0.024351964460121066	298	7.2568854091160775																																								
139											186	0.1298196475532818	0.025019079836914614	298	7.455685791400555																																								
140											27	0.129476753313797	0.025408281483471972	298	7.571667882074648																																								
141											99	0.12946771128846973	0.02541861476651666	298	7.574747200421964																																								
142											93	0.12902817740732012	0.025925298218594493	298	7.725738869141159																																								
143											259	-0.12892126605478604	0.026049848523249767	298	7.762854859928431																																								
144											89	0.12876536263133775	0.026232396210877508	298	7.817254070841497																																								
145											65	0.12844295236748896	0.02661339902482365	298	7.930792909397447																																								
146											243	-0.12838487510989158	0.02668253391918374	298	7.951395107916754																																								
147											197	-0.12833557304575077	0.02674134391642827	298	7.968920487095625																																								
148											8	0.1278560737771447	0.027319147235436065	298	8.141105876159948																																								
149											156	-0.12740943866335577	0.027866957267345345	298	8.304353265668913																																								
150											72	-0.1271522435683599	0.028186669069673098	298	8.399627382762583																																								
151											274	-0.1268488262475599	0.028567877096467884	298	8.51322737474743																																								
152											217	0.12629260205353265	0.02927818670104451	298	8.724899636911264																																								
153											34	0.12612675216645092	0.029492884802217977	298	8.788879671060958																																								
154											277	0.12557344018665562	0.030218937873808378	298	9.005243486394896																																								
155											73	-0.1253317991142562	0.03054078029760509	298	9.101152528686317																																								
156											202	0.12500025430947598	0.030987129083353642	298	9.234164466839385																																								
157											36	-0.12497623511394856	0.031019680715183382	298	9.243864853124649																																								
158											30	-0.12470913040713473	0.031383642410571844	298	9.352325438350409																																								
159											178	0.12458568329894604	0.031553081431985014	298	9.402818266731535																																								
160											147	0.12439722713526681	0.031813254785661584	298	9.480349926127152																																								
161											164	0.12337078332112657	0.03326266111229831	298	9.912273011464896																																								
162											106	0.12320623989472297	0.03350015822381854	298	9.983047150697926																																								
163											195	0.1228405830851983	0.034033108060378174	298	10.141866201992697																																								
164											239	-0.1227737271797307	0.034131327178103514	298	10.171135499074847																																								
165											32	0.12261016699493069	0.03437263285482078	298	10.243044590736591																																								
166											283	-0.12196855118529937	0.03533328131575683	298	10.529317832095536																																								
167											7	0.12164066663578893	0.03583293942871473	298	10.67821594975699																																								
168											188	-0.12099528109006065	0.03683396066693393	298	10.976520278746312																																								
169											246	-0.12072333384777162	0.03726280473705038	298	11.104315811641014																																								
170											136	0.12035329349486167	0.03785312129124409	298	11.280230144790739																																								
171											124	-0.1202896574573085	0.03795543173804703	298	11.310718657938015																																								
172											16	-0.11969781208490898	0.03891822508305427	298	11.597631074750174																																								
173											123	-0.11901240672197617	0.040058933152457496	298	11.937562079432334																																								
174											245	0.11900243557359988	0.04007573399918342	298	11.942568731756658																																								
175											270	0.11884344484968687	0.04034442918174298	298	12.02263989615941																																								
176											163	0.11867019406687884	0.04063895282760932	298	12.110407942627578																																								
177											92	-0.11842422144006935	0.04106021569412248	298	12.235944276848498																																								
178											214	0.1180554438368427	0.041698692007752954	298	12.42621021831038																																								
179											258	-0.11781945718990267	0.0421116349704348	298	12.54926722118957																																								
180											209	-0.11742592819212444	0.04280791043289236	298	12.756757309001923																																								
181											143	-0.11703937989289079	0.04350123693952877	298	12.963368607979575																																								
182											244	0.11670524902793851	0.04410812736021977	298	13.144221953345491																																								
183											161	-0.11633761107244678	0.044784077734402294	298	13.345655164851884																																								
184											236	0.1155222448395287	0.046314297315248595	298	13.801660599944082																																								
185											96	-0.11527075488183333	0.046795022180939685	298	13.944916609920027																																								
186											52	0.11486710121504896	0.04757533886667051	298	14.17745098226781																																								
187											13	-0.11467403694381777	0.047952388399360314	298	14.289811743009373																																								
188											64	-0.11455720499173647	0.04818176922691034	298	14.35816722961928																																								
189											88	0.11446009190836581	0.04837313255659997	298	14.41519350186679																																								
190											187	0.11442273352201994	0.04844691699199826	298	14.437181263615482																																								
