,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
1596,парень,парень,NOUN,nsubj,"[1612, 1584]",[1591],Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
1603,все,все,PART,advmod,"[1612, 1584]",[],
1606,-,-,PART,advmod,"[1612, 1584]",[],
1607,таки,таки,PART,advmod,"[1612, 1584]",[],
1612,прислушается,прислушаться,VERB,ccomp,[1584],"[1596, 1603, 1606, 1607, 1646, 1664]",Aspect=Perf|Mood=Ind|Number=Sing|Person=Third|Tense=Fut|VerbForm=Fin|Voice=Mid
1625,к,к,ADP,case,"[1646, 1612, 1584]",[],
1627,своему,свой,DET,det,"[1646, 1612, 1584]",[],Case=Dat|Gender=Masc|Number=Sing
1634,внутреннему,внутренний,ADJ,amod,"[1646, 1612, 1584]",[],Case=Dat|Degree=Pos|Gender=Masc|Number=Sing
1646,голосу,голос,NOUN,obl,"[1612, 1584]","[1625, 1627, 1634]",Animacy=Inan|Case=Dat|Gender=Masc|Number=Sing
1653,и,и,CCONJ,cc,"[1664, 1612, 1584]",[],
1655,не,не,PART,advmod,"[1664, 1612, 1584]",[],Polarity=Neg
1658,будет,будет,AUX,aux,"[1664, 1612, 1584]",[],Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Act
1664,совершать,совершать,VERB,conj,"[1612, 1584]","[1653, 1655, 1658, 1681]",Aspect=Imp|VerbForm=Inf|Voice=Act
1674,плохих,плохой,ADJ,amod,"[1681, 1664, 1612, 1584]",[],Case=Gen|Degree=Pos|Number=Plur
1681,дел,дело,NOUN,obj,"[1664, 1612, 1584]",[1674],Animacy=Inan|Case=Gen|Gender=Neut|Number=Plur
1684,.,.,PUNCT,punct,[1584],[],
