	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
40																					64	0.2767145950612607	0.017001794359426028	74	1.2581327825975261																															44	0.43856873587023953	0.01731893372199238	29.0	0.5022490779377791										
41																					197	0.2738868547182398	0.018211147789343525	74	1.3476249364114208																															85	-0.4368665312300115	0.01780868028324546	29.0	0.5164517282141183										
42																					103	0.2726148535084921	0.018778749337158843	74	1.3896274509497544																															136	-0.43540514757959314	0.01823821301285586	29.0	0.5289081773728199										
43																					258	0.27258205927471496	0.01879358108221553	74	1.3907250000839493																															50	-0.4348723083245027	0.01839693773335687	29.0	0.5335111942673493										
44																					192	0.27211079194814813	0.01900782993870757	74	1.4065794154643603																															59	0.4307898803907578	0.01965124139993786	29.0	0.5698860005981979										
45																					171	0.27083490186419185	0.019598398914123606	74	1.4502815196451468																															108	-0.42798976754018475	0.02055161528979826	29.0	0.5959968434041496										
46																					263	0.27005703342440407	0.01996609270844841	74	1.4774908604251822																															241	0.4260756000429599	0.02118641546908801	29.0	0.6144060486035523										
47																					130	-0.2695091392956713	0.020228603237147365	74	1.496916639548905																															54	-0.4251572593476581	0.02149663283719003	29.0	0.6234023522785109										
48																					223	0.2671162684700978	0.021409919165560443	74	1.584334018251473																															119	-0.4212840877444497	0.022846296921930558	29.0	0.6625426107359862										
49																					110	-0.2663975875878155	0.021776003734796084	74	1.6114242763749103																															174	0.4208590506446692	0.022998540579377346	29.0	0.6669576768019431										
50																					244	-0.265609613622526	0.022183500586756423	74	1.6415790434199753																															138	-0.42051138511672254	0.023123687281613594	29.0	0.6705869311667942										
51																					198	0.2655957213622808	0.022190742742023897	74	1.6421149629097684																															238	0.41925008274032227	0.023582397799284335	29.0	0.6838895361792457										
52																					200	0.2654244852294314	0.02228017505681851	74	1.64873295420457																															272	-0.4191465893738573	0.023620364334723337	29.0	0.6849905657069768										
53																					184	-0.264775419454401	0.022621956515723473	74	1.674024782163537																															89	-0.4185817634873128	0.023828452694304995	29.0	0.6910251281348448										
54																					196	-0.2641341953782262	0.02296397854547313	74	1.6993344123650118																															38	0.41847248596955994	0.02386888432679646	29.0	0.6921976454770974										
