Word/Dim,T-Stat,P-value,Occ(м),Occ(ж),Occ,P-Bonferroni,Text
очень_ADV,-8.03,0.0,34,196,232,0.0,fpi_lex_повествование.tsv
скучать_VERB,-5.29,0.0,5,69,74,0.0,fpi_lex_повествование.tsv
здесь_ADV,-5.22,0.0,0,31,32,0.0,fpi_lex_повествование.tsv
была_AUX,-4.66,0.0,1,53,54,0.0,fpi_lex_повествование.tsv
хотеться_VERB,-3.87,0.00012,6,48,54,0.6,fpi_lex_повествование.tsv
он_PRON,-3.83,0.00014,11,76,88,0.7,fpi_lex_повествование.tsv
соскучиться_VERB,-3.78,0.00017,10,96,107,0.9,fpi_lex_повествование.tsv
бояться_VERB,-3.67,0.00028,0,18,18,1.4,fpi_lex_повествование.tsv
сама_ADJ,-3.6,0.00036,0,17,17,1.8,fpi_lex_повествование.tsv
понравиться_VERB,-3.45,0.00061,7,40,47,3.0,fpi_lex_повествование.tsv
теперь_ADV,-3.44,0.00063,6,51,57,3.1,fpi_lex_повествование.tsv
что_SCONJ,-3.38,0.00079,48,182,232,3.9,fpi_lex_повествование.tsv
парень_NOUN,-3.3,0.00107,0,13,13,5.3,fpi_lex_повествование.tsv
надеяться_VERB,-3.28,0.0011,8,59,67,5.5,fpi_lex_повествование.tsv
воронеж_PROPN,-3.23,0.00132,1,28,29,6.6,fpi_lex_повествование.tsv
язык_NOUN,-3.16,0.00173,0,12,12,8.6,fpi_lex_повествование.tsv
стать_VERB,-3.11,0.00199,5,35,41,9.9,fpi_lex_повествование.tsv
наверно_ADV,-3.07,0.00229,0,13,13,11.4,fpi_lex_повествование.tsv
чувствовать_VERB,-3.06,0.00237,0,14,14,11.9,fpi_lex_повествование.tsv
ждать_VERB,-2.98,0.00299,12,66,78,14.9,fpi_lex_повествование.tsv
сегодня_ADV,-2.98,0.00309,0,12,12,15.4,fpi_lex_повествование.tsv
рад_ADJ,-2.97,0.00311,5,43,48,15.5,fpi_lex_повествование.tsv
школа_NOUN,-2.92,0.00365,3,26,29,18.2,fpi_lex_повествование.tsv
тогда_ADV,-2.9,0.00393,0,11,11,19.6,fpi_lex_повествование.tsv
