	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
29																										199	-0.10497496586156387	0.029901681508597806	428.0	12.797919685679862																					56	-0.12864626561145717	0.03296507467606441	276.0	9.098360610593778											134	0.21979513476115337	0.011652871688151392	131	1.5265261911478323	155	-0.21364446324571473	0.03372713252639206	99.0	3.338986120112814
30																										171	0.10270639988799485	0.03365234981203414	428.0	14.403205719550611																					247	0.1281824746756969	0.03360696290429173	276.0	9.275521761584518											104	-0.2197650446172015	0.011664606514708785	131	1.528063453426851	117	0.21343258161307202	0.03390806801819693	99.0	3.356898733801496
31																										291	-0.10165588908461433	0.035520708513304036	428.0	15.202863243694127																					277	-0.12805921589303007	0.033779330963482776	276.0	9.323095345921246											207	0.21938458456010126	0.011813877925863279	131	1.5476180082880895	290	-0.2133602255791059	0.03397004299835038	99.0	3.3630342568366878
32																										180	0.101383822756788	0.03601871993619637	428.0	15.416012132692046																					65	-0.12783483623264646	0.03409503919940687	276.0	9.410230819036295											222	-0.21881366638659583	0.01204101566353984	131	1.577373051923719	271	0.21273960667470146	0.03450554644216152	99.0	3.4160490977739904
33																										95	-0.10091699251261	0.03688706559047273	428.0	15.787664072722329																					211	-0.12755864185324406	0.03448709286951865	276.0	9.518437631987148											8	-0.21802205132339195	0.012362282850218691	131	1.6194590533786486	76	-0.21227428812850072	0.034911689693112535	99.0	3.456257279618141
34																										228	-0.09960368434533955	0.03942577537328089	428.0	16.87423185976422																					150	0.12743618979588134	0.03466213337953973	276.0	9.566748812752966											223	0.21790300451735434	0.012411239965295915	131	1.6258724354537648	26	0.21128287585567782	0.03579043558304574	99.0	3.543253122721528
35																										225	-0.09843049064619594	0.04181713822013223	428.0	17.897735158216594																					137	0.12708770896683116	0.035164408285092784	276.0	9.705376686685609											225	-0.21775808821993434	0.012471064678563208	131	1.6337094728917803	144	0.21007018553386328	0.03689049073415555	99.0	3.652158582681399
36																										48	0.0973648647642232	0.04409416083090817	428.0	18.872300835628696																					151	-0.12686223988394127	0.03549266403492068	276.0	9.795975273638106											186	-0.21759242624994143	0.012539762694733473	131	1.642708913010085	172	0.2091139821933003	0.037777743952088896	99.0	3.7399966512568006
37																										5	-0.09584394979778674	0.04752400649348905	428.0	20.340274779213313																					162	-0.12622335672708143	0.03643695449177182	276.0	10.056599439729021											297	0.21575483463836792	0.013324282188862134	131	1.7454809667409397	228	-0.20882884460724904	0.038045754306278906	99.0	3.766529676321612
38																										288	-0.0954342169001147	0.04848532313898259	428.0	20.75171830348455																					238	-0.12550812333818312	0.03751926777753015	276.0	10.355317906598323											70	0.2144343651564102	0.013914188860290541	131	1.822758740698061	61	-0.20622407063788745	0.04056855695566479	99.0	4.0162871386108145
39																										153	0.09486276645825319	0.04985319204713091	428.0	21.337166196172028																					236	0.12494835229128556	0.03838519807288127	276.0	10.594314668115231											114	0.21389905077170931	0.014159750716169865	131	1.8549273438182523	121	-0.2060967192128333	0.04069539726216891	99.0	4.028844328954722
