	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
29											8	-0.15133106979647137	0.024129793282112198	222	5.356814108628908						16	0.1760284561997912	0.040372799557282964	136.0	5.4907007397904835	200	-0.1065217295990253	0.03896721254862072	376.0	14.65167191828139	74	0.1583567181213931	0.040957024771799966	167.0	6.839823136890594																																														93	-0.2226777972399199	0.026734570419954466	99.0	2.646722471575492
30											97	0.1510467841355664	0.024400062712409996	222	5.416813922155019						220	0.17281458854926876	0.04422957699397981	136.0	6.015222471181254	182	0.10647673158167405	0.039050359004555876	376.0	14.68293498571301	242	-0.15795080303695055	0.0414841078769333	167.0	6.927846015447861																																														106	-0.22245581823289307	0.026890333186674838	99.0	2.6621429854808087
31											150	0.15093507993204094	0.024506970360741898	222	5.440547420084702						231	-0.17018658338128256	0.047607499093355266	136.0	6.474619876696316	278	-0.10647140195605954	0.03906021691568693	376.0	14.686641560298286	159	0.15777375192830126	0.04171578605336805	167.0	6.9665362709124645																																														208	0.2223479321236948	0.02696631502863655	99.0	2.6696651878350184
32											59	-0.15056975361379238	0.02485942926091638	222	5.5187932959234365						200	0.1695954370792507	0.04839616675566843	136.0	6.581878678770906	141	-0.10644084977206976	0.03911676821694659	376.0	14.707904849571918	36	0.1576907146698134	0.04182481680260338	167.0	6.984744406034764																																														134	0.22207451735501252	0.02715969265891159	99.0	2.6888095732322475
33											157	-0.15045792942913525	0.024968182625386647	222	5.542936542835836						281	-0.1694349341622486	0.04861216208082257	136.0	6.611254042991869	85	-0.10633255305564479	0.0393177807651628	376.0	14.783485567701211	138	0.15691586016231748	0.04285379560915651	167.0	7.156583866729137																																														99	-0.22165799519787735	0.027456549556807656	99.0	2.718198406123958
34											44	-0.1503758943598529	0.025048224861387147	222	5.560705919227947						117	0.16910440155562045	0.049059495044178725	136.0	6.672091326008307	173	0.1057131574678377	0.04048431708097064	376.0	15.22210322244496	274	0.15664514617193714	0.04321825637938889	167.0	7.217448815357945																																														153	0.21956102637696445	0.028993257751222707	99.0	2.870332517371048
35											110	-0.15010172454474027	0.025317337347949054	222	5.62044889124469											58	0.10538914458553694	0.04110610075293488	376.0	15.455893883103515	270	0.15660207741046026	0.0432764782304739	167.0	7.227171864489141																																														228	-0.2182334049433948	0.030003366117363272	99.0	2.970333245618964
36											275	-0.1492339216134291	0.026185575539057194	222	5.813197769670697											193	-0.10479693167040258	0.042263391865378676	376.0	15.891035341382382	266	0.15595650025939448	0.044157090450688836	167.0	7.374234105265035																																														231	-0.21567072472707935	0.032037502650882184	99.0	3.1717127624373362
37											73	0.14848674220275807	0.02695348628044161	222	5.9836739542580375											239	-0.10468382208003614	0.042487522456441995	376.0	15.97530844362219	75	-0.15575091061589083	0.04444065606040553	167.0	7.421589562087724																																														89	0.21518387138657724	0.03243681231974366	99.0	3.211244419654622
38											173	-0.14833152150794723	0.027115413507481055	222	6.019621798660794											66	-0.10447420209216224	0.042905539237686315	376.0	16.132482753370056	172	-0.15568667774419725	0.04452956268865276	167.0	7.436436969005011																																														187	-0.21415485834488268	0.033294617197205834	99.0	3.2961671025233774
